user_id,signup_date,acquisition_channel,country,sessions_count,actions_count,is_activated,days_to_activate,activation_date,is_converted,days_to_convert,subscription_date,plan_type,revenue,is_churned,churn_date
22,2025-02-27 15:45:05,Referral,India,4,12.0,0,,,0,,,,0,0,
23,2025-03-06 09:45:59,Organic,India,5,30.0,1,1.0,2025-03-07 09:45:59,1,10.0,2025-03-16 09:45:59,Basic,50,0,
24,2025-01-21 10:48:11,Ads,Germany,7,42.0,1,1.0,2025-01-22 10:48:11,0,,,,0,0,
25,2025-02-22 07:56:13,Organic,USA,11,49.5,1,2.0,2025-02-24 07:56:13,0,,,,0,0,
26,2025-03-11 16:11:17,Ads,USA,10,30.0,1,2.0,2025-03-13 16:11:17,0,,,,0,0,
27,2025-02-08 17:06:09,Ads,India,1,3.0,1,2.0,2025-02-10 17:06:09,1,13.0,2025-02-21 17:06:09,Basic,50,0,
28,2025-01-10 03:55:43,Organic,Canada,5,15.0,1,1.0,2025-01-11 03:55:43,0,,,,0,0,
29,2025-01-02 04:42:35,Ads,India,2,9.0,1,2.0,2025-01-04 04:42:35,0,,,,0,1,1738471355000000000
30,2025-03-29 16:23:48,Organic,India,2,12.0,1,2.0,2025-03-31 16:23:48,0,,,,0,0,
31,2025-01-15 14:45:52,Referral,India,1,3.0,0,,,0,,,,0,1,1741704352000000000
32,2025-03-16 22:57:15,Referral,Germany,5,15.0,1,1.0,2025-03-17 22:57:15,0,,,,0,0,
33,2025-01-17 03:47:05,Organic,UK,3,9.0,1,2.0,2025-01-19 03:47:05,0,,,,0,1,1740455225000000000
34,2025-03-07 13:33:09,Organic,UK,3,6.0,0,,,0,,,,0,1,1746451989000000000
35,2025-03-01 23:55:40,Organic,India,5,30.0,1,2.0,2025-03-03 23:55:40,0,,,,0,0,
36,2025-01-16 03:09:31,Ads,Germany,4,24.0,1,3.0,2025-01-19 03:09:31,0,,,,0,1,1741230571000000000
37,2025-03-20 10:41:28,Organic,UK,5,22.5,1,1.0,2025-03-21 10:41:28,0,,,,0,1,1744713688000000000
38,2025-01-11 14:44:00,Organic,UK,6,36.0,1,3.0,2025-01-14 14:44:00,0,,,,0,1,1741358640000000000
39,2025-03-08 11:17:46,Organic,Germany,4,24.0,1,3.0,2025-03-11 11:17:46,1,14.0,2025-03-22 11:17:46,Pro,120,0,
40,2025-01-27 02:04:42,Organic,India,3,9.0,1,1.0,2025-01-28 02:04:42,0,,,,0,1,1741140282000000000
41,2025-03-12 18:16:30,Ads,USA,7,31.5,1,3.0,2025-03-15 18:16:30,0,,,,0,1,1746900990000000000
42,2025-02-10 20:40:09,Organic,Germany,2,6.0,1,3.0,2025-02-13 20:40:09,0,,,,0,1,1740602409000000000
43,2025-03-28 16:25:35,Ads,UK,7,42.0,1,2.0,2025-03-30 16:25:35,0,,,,0,1,1748276735000000000
44,2025-02-26 02:58:35,Organic,USA,6,18.0,0,,,0,,,,0,1,1745549915000000000
45,2025-02-24 15:28:59,Organic,India,6,36.0,1,2.0,2025-02-26 15:28:59,0,,,,0,1,1742052539000000000
46,2025-02-26 01:07:27,Ads,UK,2,8.0,0,,,0,,,,0,0,
47,2025-01-18 08:55:42,Referral,USA,1,3.0,0,,,1,11.0,2025-01-29 08:55:42,Basic,50,0,
48,2025-02-19 07:20:29,Ads,India,4,18.0,1,1.0,2025-02-20 07:20:29,1,10.0,2025-03-01 07:20:29,Pro,120,0,
49,2025-02-07 21:55:09,Organic,Canada,8,24.0,1,3.0,2025-02-10 21:55:09,0,,,,0,1,1741643709000000000
50,2025-01-01 23:30:54,Organic,India,5,15.0,0,,,0,,,,0,1,1738884654000000000
51,2025-03-01 13:53:01,Referral,India,8,24.0,1,3.0,2025-03-04 13:53:01,0,,,,0,0,
52,2025-01-23 14:52:34,Organic,UK,6,18.0,1,3.0,2025-01-26 14:52:34,0,,,,0,0,
53,2025-03-21 15:59:39,Organic,USA,2,9.0,1,3.0,2025-03-24 15:59:39,0,,,,0,0,
54,2025-01-28 23:09:42,Referral,India,2,6.0,1,2.0,2025-01-30 23:09:42,1,13.0,2025-02-10 23:09:42,Basic,50,0,
55,2025-02-10 05:11:15,Referral,India,6,36.0,1,2.0,2025-02-12 05:11:15,0,,,,0,0,
56,2025-01-31 16:56:31,Referral,India,2,9.0,1,3.0,2025-02-03 16:56:31,0,,,,0,1,1741625791000000000
57,2025-03-17 23:36:34,Referral,India,6,36.0,1,3.0,2025-03-20 23:36:34,0,,,,0,0,
58,2025-01-29 02:33:08,Referral,India,3,18.0,1,3.0,2025-02-01 02:33:08,0,,,,0,0,
59,2025-01-07 02:42:58,Organic,India,2,4.0,0,,,0,,,,0,0,
60,2025-01-31 19:44:06,Organic,India,7,42.0,1,3.0,2025-02-03 19:44:06,0,,,,0,1,1740167046000000000
61,2025-01-30 22:30:44,Ads,USA,3,6.0,0,,,0,,,,0,0,
62,2025-03-05 15:42:00,Ads,Germany,6,36.0,1,3.0,2025-03-08 15:42:00,0,,,,0,1,1743349320000000000
63,2025-01-30 18:00:06,Organic,USA,5,15.0,1,2.0,2025-02-01 18:00:06,0,,,,0,0,
64,2025-03-18 20:41:53,Organic,UK,7,42.0,1,2.0,2025-03-20 20:41:53,0,,,,0,1,1747341713000000000
65,2025-03-22 12:37:23,Organic,India,4,12.0,1,1.0,2025-03-23 12:37:23,0,,,,0,1,1744979843000000000
66,2025-02-09 13:04:24,Ads,UK,9,27.0,1,1.0,2025-02-10 13:04:24,1,10.0,2025-02-19 13:04:24,Pro,120,1,1741525464000000000
67,2025-02-09 04:27:39,Organic,USA,4,18.0,1,1.0,2025-02-10 04:27:39,0,,,,0,1,1741840059000000000
68,2025-02-09 04:22:37,Organic,USA,7,21.0,1,2.0,2025-02-11 04:22:37,0,,,,0,1,1740457357000000000
69,2025-03-29 07:51:13,Ads,India,3,9.0,1,3.0,2025-04-01 07:51:13,0,,,,0,1,1748332273000000000
70,2025-02-02 08:31:53,Ads,India,4,12.0,0,,,0,,,,0,0,
71,2025-01-17 23:08:09,Organic,USA,0,0.0,1,1.0,2025-01-18 23:08:09,0,,,,0,1,1738710489000000000
72,2025-01-01 18:55:48,Ads,USA,7,14.0,0,,,0,,,,0,1,1738436148000000000
73,2025-01-22 03:07:45,Ads,Canada,2,4.0,0,,,0,,,,0,1,1739934465000000000
74,2025-02-01 18:41:23,Organic,India,7,28.0,0,,,0,,,,0,1,1741545683000000000
75,2025-02-09 07:48:43,Organic,India,9,54.0,1,1.0,2025-02-10 07:48:43,1,12.0,2025-02-21 07:48:43,Basic,50,1,1741679323000000000
76,2025-02-04 18:22:38,Organic,USA,6,18.0,0,,,0,,,,0,0,
77,2025-03-22 16:11:39,Organic,Canada,6,18.0,1,3.0,2025-03-25 16:11:39,0,,,,0,0,
78,2025-02-16 22:48:38,Referral,India,5,20.0,0,,,0,,,,0,1,1743806918000000000
79,2025-01-31 21:39:55,Organic,USA,3,18.0,1,3.0,2025-02-03 21:39:55,1,6.0,2025-02-06 21:39:55,Basic,50,0,
80,2025-02-21 12:20:12,Ads,India,7,14.0,0,,,0,,,,0,1,1741695612000000000
81,2025-02-27 20:18:15,Organic,USA,5,15.0,0,,,0,,,,0,0,
82,2025-02-28 22:14:06,Organic,UK,4,12.0,0,,,0,,,,0,0,
83,2025-03-16 01:13:06,Ads,Canada,6,24.0,0,,,0,,,,0,1,1746925986000000000
84,2025-02-25 12:57:49,Organic,India,2,9.0,1,2.0,2025-02-27 12:57:49,0,,,,0,0,
85,2025-01-22 15:42:08,Organic,India,6,24.0,0,,,0,,,,0,1,1739720528000000000
86,2025-02-18 02:14:59,Organic,USA,4,24.0,1,3.0,2025-02-21 02:14:59,0,,,,0,0,
87,2025-01-30 14:24:49,Organic,India,3,13.5,1,2.0,2025-02-01 14:24:49,0,,,,0,0,
88,2025-01-21 12:36:55,Ads,UK,4,12.0,1,1.0,2025-01-22 12:36:55,0,,,,0,1,1740227815000000000
89,2025-03-14 08:04:19,Organic,USA,5,30.0,1,2.0,2025-03-16 08:04:19,0,,,,0,1,1744704259000000000
90,2025-02-27 20:56:33,Referral,India,4,16.0,0,,,0,,,,0,0,
91,2025-03-08 00:04:13,Ads,Canada,8,24.0,1,3.0,2025-03-11 00:04:13,0,,,,0,1,1743379453000000000
92,2025-01-27 16:23:33,Organic,India,6,36.0,1,3.0,2025-01-30 16:23:33,0,,,,0,1,1741883013000000000
93,2025-02-15 06:09:57,Organic,Germany,6,18.0,1,1.0,2025-02-16 06:09:57,0,,,,0,0,
94,2025-03-30 21:38:49,Organic,Canada,4,8.0,0,,,0,,,,0,0,
95,2025-03-06 07:53:39,Ads,UK,2,6.0,1,2.0,2025-03-08 07:53:39,1,9.0,2025-03-15 07:53:39,Pro,120,0,
96,2025-03-04 16:05:09,Organic,India,6,27.0,1,1.0,2025-03-05 16:05:09,0,,,,0,1,1742486709000000000
97,2025-01-04 03:30:36,Referral,Germany,3,18.0,1,1.0,2025-01-05 03:30:36,1,12.0,2025-01-16 03:30:36,Basic,50,1,1738121436000000000
98,2025-02-11 11:45:02,Organic,UK,2,8.0,0,,,0,,,,0,1,1742471102000000000
99,2025-01-25 06:05:05,Referral,India,7,28.0,0,,,1,12.0,2025-02-06 06:05:05,Basic,50,1,1740722705000000000
100,2025-03-26 06:36:09,Organic,India,6,18.0,1,3.0,2025-03-29 06:36:09,1,14.0,2025-04-09 06:36:09,Pro,120,0,
101,2025-01-27 14:43:55,Referral,India,5,22.5,1,3.0,2025-01-30 14:43:55,1,7.0,2025-02-03 14:43:55,Basic,50,0,
102,2025-01-03 06:39:29,Organic,Germany,5,30.0,1,1.0,2025-01-04 06:39:29,0,,,,0,0,
103,2025-01-31 18:28:25,Organic,Canada,3,12.0,0,,,0,,,,0,1,1739903305000000000
104,2025-01-15 17:15:41,Organic,Germany,10,40.0,0,,,1,6.0,2025-01-21 17:15:41,Pro,120,0,
105,2025-02-13 15:01:55,Organic,UK,6,27.0,1,3.0,2025-02-16 15:01:55,1,11.0,2025-02-24 15:01:55,Basic,50,0,
106,2025-01-13 02:46:37,Referral,USA,5,15.0,1,2.0,2025-01-15 02:46:37,1,5.0,2025-01-18 02:46:37,Basic,50,0,
107,2025-02-05 06:27:42,Organic,India,2,6.0,0,,,0,,,,0,0,
108,2025-01-19 08:06:38,Organic,India,3,13.5,1,1.0,2025-01-20 08:06:38,0,,,,0,0,
109,2025-01-30 22:03:51,Ads,India,7,21.0,1,3.0,2025-02-02 22:03:51,1,7.0,2025-02-06 22:03:51,Basic,50,0,
110,2025-01-07 12:51:25,Organic,USA,7,21.0,0,,,0,,,,0,0,
111,2025-02-03 07:46:30,Ads,Germany,1,3.0,1,1.0,2025-02-04 07:46:30,0,,,,0,1,1743234390000000000
112,2025-03-06 18:33:31,Ads,Germany,4,18.0,1,2.0,2025-03-08 18:33:31,1,9.0,2025-03-15 18:33:31,Pro,120,1,1744137211000000000
113,2025-01-16 04:22:16,Organic,India,4,12.0,0,,,0,,,,0,1,1741148536000000000
114,2025-01-12 15:48:13,Referral,UK,7,31.5,1,3.0,2025-01-15 15:48:13,0,,,,0,1,1741448893000000000
115,2025-02-25 06:09:43,Organic,USA,4,24.0,1,2.0,2025-02-27 06:09:43,0,,,,0,1,1744524583000000000
116,2025-02-08 23:10:12,Organic,USA,4,12.0,1,2.0,2025-02-10 23:10:12,1,11.0,2025-02-19 23:10:12,Basic,50,0,
117,2025-01-01 06:27:27,Ads,UK,5,15.0,1,1.0,2025-01-02 06:27:27,0,,,,0,1,1739687247000000000
118,2025-03-02 23:06:20,Ads,India,3,12.0,0,,,0,,,,0,1,1745535980000000000
119,2025-02-01 07:10:38,Organic,Germany,8,36.0,1,3.0,2025-02-04 07:10:38,0,,,,0,1,1743318638000000000
120,2025-01-31 10:45:08,Ads,UK,5,20.0,0,,,0,,,,0,1,1739702708000000000
121,2025-02-10 10:44:39,Organic,UK,7,28.0,0,,,0,,,,0,1,1741949079000000000
122,2025-03-05 20:33:29,Organic,India,7,31.5,1,2.0,2025-03-07 20:33:29,1,11.0,2025-03-16 20:33:29,Basic,50,0,
123,2025-01-21 11:00:40,Referral,India,2,9.0,1,3.0,2025-01-24 11:00:40,1,6.0,2025-01-27 11:00:40,Basic,50,0,
124,2025-03-23 09:46:35,Organic,India,2,4.0,0,,,0,,,,0,1,1745487995000000000
125,2025-03-19 19:42:51,Organic,UK,8,48.0,1,3.0,2025-03-22 19:42:51,0,,,,0,0,
126,2025-03-25 12:52:11,Referral,Germany,3,13.5,1,3.0,2025-03-28 12:52:11,0,,,,0,1,1747054331000000000
127,2025-01-31 06:02:20,Referral,USA,5,15.0,1,1.0,2025-02-01 06:02:20,0,,,,0,1,1740808940000000000
128,2025-01-15 20:59:20,Organic,UK,5,22.5,1,3.0,2025-01-18 20:59:20,0,,,,0,1,1739221160000000000
129,2025-03-09 04:33:32,Ads,USA,2,4.0,0,,,0,,,,0,1,1746419612000000000
130,2025-03-12 09:02:06,Ads,India,4,8.0,0,,,0,,,,0,1,1744707726000000000
131,2025-03-01 20:57:16,Referral,UK,8,24.0,1,2.0,2025-03-03 20:57:16,1,14.0,2025-03-15 20:57:16,Basic,50,0,
132,2025-01-17 11:57:52,Referral,UK,14,63.0,1,3.0,2025-01-20 11:57:52,0,,,,0,1,1740311872000000000
133,2025-01-01 13:36:24,Organic,India,5,15.0,0,,,0,,,,0,0,
134,2025-01-28 18:41:10,Organic,India,7,14.0,0,,,0,,,,0,1,1741545670000000000
135,2025-03-17 21:09:28,Organic,USA,4,24.0,1,3.0,2025-03-20 21:09:28,0,,,,0,1,1743628168000000000
136,2025-02-07 19:11:19,Ads,India,3,12.0,0,,,0,,,,0,1,1740424279000000000
137,2025-01-18 09:53:04,Ads,Germany,8,48.0,1,2.0,2025-01-20 09:53:04,0,,,,0,1,1740217984000000000
138,2025-03-14 01:59:07,Ads,USA,6,18.0,1,2.0,2025-03-16 01:59:07,1,5.0,2025-03-19 01:59:07,Pro,120,0,
139,2025-01-26 19:41:59,Referral,India,4,24.0,1,1.0,2025-01-27 19:41:59,0,,,,0,1,1740771719000000000
140,2025-03-22 07:48:39,Organic,India,5,22.5,1,2.0,2025-03-24 07:48:39,0,,,,0,1,1746949719000000000
141,2025-01-21 06:42:06,Organic,Germany,4,24.0,1,2.0,2025-01-23 06:42:06,1,6.0,2025-01-27 06:42:06,Basic,50,1,1741156926000000000
142,2025-02-20 02:57:14,Organic,UK,2,6.0,1,2.0,2025-02-22 02:57:14,0,,,,0,0,
143,2025-03-20 09:10:10,Organic,UK,7,14.0,0,,,0,,,,0,0,
144,2025-03-30 10:41:20,Organic,India,9,54.0,1,3.0,2025-04-02 10:41:20,1,7.0,2025-04-06 10:41:20,Basic,50,1,1745750480000000000
145,2025-01-21 02:31:35,Organic,Canada,7,21.0,1,2.0,2025-01-23 02:31:35,0,,,,0,1,1740623495000000000
146,2025-01-25 10:25:38,Ads,USA,6,27.0,1,3.0,2025-01-28 10:25:38,1,11.0,2025-02-05 10:25:38,Pro,120,1,1739096738000000000
147,2025-02-25 07:54:10,Referral,UK,5,15.0,1,1.0,2025-02-26 07:54:10,0,,,,0,1,1741938850000000000
148,2025-03-28 10:49:04,Ads,Germany,0,0.0,0,,,0,,,,0,1,1745750944000000000
149,2025-01-25 10:03:38,Ads,India,3,12.0,0,,,0,,,,0,1,1742033018000000000
150,2025-03-30 10:27:16,Organic,USA,4,12.0,0,,,0,,,,0,1,1747391236000000000
151,2025-01-26 19:56:25,Ads,India,6,27.0,1,1.0,2025-01-27 19:56:25,0,,,,0,1,1742673385000000000
152,2025-02-21 21:21:42,Ads,USA,5,22.5,1,2.0,2025-02-23 21:21:42,0,,,,0,1,1744752102000000000
153,2025-02-04 02:54:49,Ads,India,6,24.0,0,,,0,,,,0,1,1743044089000000000
154,2025-02-01 13:12:08,Organic,Germany,9,27.0,0,,,0,,,,0,1,1741180328000000000
155,2025-02-14 14:22:19,Organic,India,4,18.0,1,2.0,2025-02-16 14:22:19,0,,,,0,1,1743171739000000000
156,2025-03-30 06:00:38,Organic,USA,2,6.0,0,,,0,,,,0,1,1748325638000000000
157,2025-01-22 08:03:20,Ads,Canada,7,21.0,1,2.0,2025-01-24 08:03:20,1,6.0,2025-01-28 08:03:20,Basic,50,0,
158,2025-01-13 11:45:11,Referral,Germany,8,36.0,1,3.0,2025-01-16 11:45:11,1,8.0,2025-01-21 11:45:11,Basic,50,0,
159,2025-01-12 12:41:47,Referral,USA,7,31.5,1,1.0,2025-01-13 12:41:47,1,9.0,2025-01-21 12:41:47,Basic,50,1,1741351307000000000
160,2025-02-10 18:10:41,Organic,USA,5,20.0,0,,,0,,,,0,1,1744049441000000000
161,2025-03-24 12:35:44,Ads,India,4,8.0,0,,,0,,,,0,1,1746102944000000000
162,2025-02-22 14:39:43,Referral,India,4,12.0,0,,,0,,,,0,0,
163,2025-03-25 09:29:26,Organic,USA,4,16.0,0,,,0,,,,0,1,1747042166000000000
164,2025-01-22 15:30:30,Organic,India,3,6.0,0,,,0,,,,0,0,
165,2025-02-13 08:56:29,Referral,India,2,9.0,1,3.0,2025-02-16 08:56:29,1,13.0,2025-02-26 08:56:29,Pro,120,0,
166,2025-02-17 22:46:47,Organic,India,8,36.0,1,3.0,2025-02-20 22:46:47,0,,,,0,1,1744757207000000000
167,2025-02-24 05:04:34,Referral,USA,2,9.0,1,1.0,2025-02-25 05:04:34,0,,,,0,1,1741755874000000000
168,2025-03-14 06:43:55,Referral,USA,3,6.0,0,,,0,,,,0,1,1746341035000000000
169,2025-02-11 16:37:59,Ads,India,10,30.0,1,1.0,2025-02-12 16:37:59,0,,,,0,0,
170,2025-03-05 20:13:09,Referral,India,3,12.0,0,,,0,,,,0,0,
171,2025-01-25 13:21:30,Ads,USA,3,13.5,1,3.0,2025-01-28 13:21:30,1,8.0,2025-02-02 13:21:30,Basic,50,1,1741526490000000000
172,2025-02-04 15:00:50,Ads,UK,7,31.5,1,2.0,2025-02-06 15:00:50,0,,,,0,1,1741532450000000000
173,2025-03-17 03:38:40,Organic,USA,3,9.0,1,3.0,2025-03-20 03:38:40,1,10.0,2025-03-27 03:38:40,Basic,50,0,
174,2025-01-06 16:27:14,Organic,Canada,7,21.0,0,,,1,13.0,2025-01-19 16:27:14,Pro,120,0,
175,2025-01-23 13:11:00,Organic,India,6,27.0,1,3.0,2025-01-26 13:11:00,0,,,,0,1,1742217060000000000
176,2025-02-20 03:44:46,Ads,India,4,8.0,0,,,0,,,,0,1,1745034286000000000
177,2025-01-18 14:31:41,Organic,India,5,30.0,1,2.0,2025-01-20 14:31:41,0,,,,0,1,1740925901000000000
178,2025-03-04 12:20:18,Organic,USA,4,12.0,0,,,0,,,,0,0,
179,2025-02-20 16:12:48,Organic,UK,4,24.0,1,1.0,2025-02-21 16:12:48,1,8.0,2025-02-28 16:12:48,Pro,120,1,1742746368000000000
180,2025-02-21 00:32:04,Ads,India,5,30.0,1,3.0,2025-02-24 00:32:04,0,,,,0,0,
181,2025-02-06 07:18:49,Referral,USA,5,15.0,1,1.0,2025-02-07 07:18:49,1,10.0,2025-02-16 07:18:49,Pro,120,0,
182,2025-03-22 00:42:30,Referral,USA,4,8.0,0,,,0,,,,0,1,1747528950000000000
183,2025-03-13 09:08:14,Organic,Germany,8,24.0,1,1.0,2025-03-14 09:08:14,0,,,,0,0,
184,2025-01-11 09:17:01,Referral,UK,5,10.0,0,,,0,,,,0,1,1741598221000000000
185,2025-03-21 22:32:06,Ads,UK,9,18.0,0,,,0,,,,0,1,1746570726000000000
186,2025-03-10 03:46:34,Ads,USA,3,18.0,1,2.0,2025-03-12 03:46:34,1,9.0,2025-03-19 03:46:34,Basic,50,1,1743997594000000000
187,2025-03-04 01:27:36,Ads,Germany,2,8.0,0,,,0,,,,0,1,1745371656000000000
188,2025-03-25 10:32:46,Organic,Germany,6,24.0,0,,,0,,,,0,1,1745058766000000000
189,2025-03-29 11:29:18,Referral,USA,5,15.0,1,1.0,2025-03-30 11:29:18,0,,,,0,1,1748086158000000000
190,2025-03-17 08:27:05,Organic,USA,8,16.0,0,,,0,,,,0,0,
191,2025-01-02 10:00:09,Organic,USA,4,18.0,1,1.0,2025-01-03 10:00:09,0,,,,0,0,
192,2025-01-24 08:11:56,Ads,USA,8,36.0,1,3.0,2025-01-27 08:11:56,1,8.0,2025-02-01 08:11:56,Basic,50,1,1739175116000000000
193,2025-01-28 04:59:30,Organic,USA,7,42.0,1,2.0,2025-01-30 04:59:30,0,,,,0,0,
194,2025-01-09 21:46:38,Organic,India,3,12.0,0,,,0,,,,0,1,1741297598000000000
195,2025-03-03 06:14:55,Ads,Germany,6,18.0,1,3.0,2025-03-06 06:14:55,0,,,,0,1,1743056095000000000
196,2025-03-23 18:18:14,Organic,USA,8,36.0,1,1.0,2025-03-24 18:18:14,0,,,,0,0,
197,2025-02-07 19:43:44,Ads,Canada,7,42.0,1,3.0,2025-02-10 19:43:44,0,,,,0,1,1741895024000000000
198,2025-02-08 13:17:48,Ads,USA,1,3.0,1,1.0,2025-02-09 13:17:48,0,,,,0,1,1740662268000000000
199,2025-02-07 16:33:35,Ads,UK,5,22.5,1,3.0,2025-02-10 16:33:35,0,,,,0,1,1741883615000000000
200,2025-01-11 02:52:51,Ads,India,5,15.0,0,,,0,,,,0,0,
201,2025-03-07 10:37:17,Ads,USA,2,9.0,1,3.0,2025-03-10 10:37:17,1,6.0,2025-03-13 10:37:17,Basic,50,0,
202,2025-02-02 18:54:28,Ads,USA,8,48.0,1,1.0,2025-02-03 18:54:28,1,7.0,2025-02-09 18:54:28,Pro,120,1,1743015268000000000
203,2025-03-03 21:45:58,Ads,India,5,30.0,1,2.0,2025-03-05 21:45:58,0,,,,0,1,1742593558000000000
204,2025-02-14 19:49:58,Ads,Canada,2,9.0,1,2.0,2025-02-16 19:49:58,0,,,,0,1,1742240998000000000
205,2025-01-12 06:25:48,Ads,India,3,6.0,0,,,0,,,,0,0,
206,2025-02-08 16:53:34,Referral,USA,6,36.0,1,2.0,2025-02-10 16:53:34,0,,,,0,0,
207,2025-03-23 18:25:46,Organic,India,8,24.0,1,1.0,2025-03-24 18:25:46,0,,,,0,0,
208,2025-01-15 01:04:35,Organic,Canada,5,15.0,1,3.0,2025-01-18 01:04:35,0,,,,0,0,
209,2025-03-13 22:43:24,Referral,India,7,31.5,1,1.0,2025-03-14 22:43:24,1,10.0,2025-03-23 22:43:24,Pro,120,1,1744584204000000000
210,2025-02-10 04:01:35,Organic,USA,2,9.0,1,2.0,2025-02-12 04:01:35,0,,,,0,1,1744257695000000000
211,2025-03-02 02:39:02,Organic,India,5,10.0,0,,,0,,,,0,1,1744684742000000000
212,2025-02-04 05:57:14,Ads,USA,4,12.0,1,1.0,2025-02-05 05:57:14,1,9.0,2025-02-13 05:57:14,Basic,50,1,1740290234000000000
213,2025-03-12 20:45:38,Organic,Canada,5,22.5,1,1.0,2025-03-13 20:45:38,0,,,,0,1,1743799538000000000
214,2025-02-22 22:38:13,Organic,India,5,30.0,1,2.0,2025-02-24 22:38:13,0,,,,0,1,1742855893000000000
215,2025-03-19 15:02:51,Referral,UK,3,12.0,0,,,0,,,,0,0,
216,2025-01-01 12:06:25,Ads,India,6,24.0,0,,,0,,,,0,1,1740225985000000000
217,2025-03-06 23:30:49,Organic,USA,12,36.0,0,,,0,,,,0,0,
218,2025-03-15 13:25:00,Referral,USA,6,18.0,0,,,0,,,,0,0,
219,2025-02-05 09:13:33,Referral,USA,4,18.0,1,3.0,2025-02-08 09:13:33,0,,,,0,0,
220,2025-01-30 09:24:08,Organic,USA,4,12.0,0,,,0,,,,0,1,1739611448000000000
221,2025-01-02 06:25:56,Organic,USA,2,6.0,0,,,0,,,,0,1,1738131956000000000
222,2025-01-19 05:39:17,Referral,India,3,9.0,1,1.0,2025-01-20 05:39:17,0,,,,0,0,
223,2025-03-14 09:36:27,Ads,USA,7,14.0,0,,,0,,,,0,0,
224,2025-02-16 14:43:39,Ads,India,8,36.0,1,2.0,2025-02-18 14:43:39,0,,,,0,1,1742827419000000000
225,2025-03-23 16:50:51,Referral,UK,4,12.0,0,,,0,,,,0,1,1747587051000000000
226,2025-02-20 20:42:19,Ads,Canada,5,15.0,0,,,0,,,,0,1,1743453739000000000
227,2025-01-25 13:44:51,Organic,India,0,0.0,1,2.0,2025-01-27 13:44:51,0,,,,0,1,1739281491000000000
228,2025-01-24 06:03:41,Ads,India,4,8.0,0,,,0,,,,0,1,1740981821000000000
229,2025-01-14 21:44:42,Organic,India,5,30.0,1,1.0,2025-01-15 21:44:42,0,,,,0,0,
230,2025-01-07 06:38:55,Ads,Germany,6,12.0,0,,,0,,,,0,0,
231,2025-02-09 17:52:57,Ads,Canada,5,20.0,0,,,0,,,,0,1,1743529977000000000
232,2025-02-19 10:07:50,Organic,India,5,30.0,1,3.0,2025-02-22 10:07:50,0,,,,0,1,1744538870000000000
